feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
ACTN2,0.56690657793935,0.000999000999000999,1.18085665414677e-08,0.001593969646425,2.31813552239557e-08
ACTR3B,0.327277635914585,0.000999000999000999,3.60231522090793e-13,0.001593969646425,9.1172811380393e-13
ACTR3C,0.362317848040993,0.000999000999000999,3.64328341024076e-17,0.001593969646425,1.13475578330402e-16
ACVR1,-0.182345819200409,0.000999000999000999,4.34939129896396e-11,0.001593969646425,9.77864916183425e-11
ACVR1B,-0.0330178340161034,0.198801198801199,0.22489779065085,0.224406761812999,0.253689321597177
ACVR1C,-0.697088320315701,0.000999000999000999,9.250325501154e-30,0.001593969646425,5.28715506030476e-29
ACVR2A,0.0812666413343335,0.011988011988012,0.00491588764822621,0.0161378169852746,0.00660204403860535
ACVR2B,-0.180945827596215,0.001998001998002,9.71432021556399e-07,0.00301347077029525,1.69907753946177e-06
ACVR2B-AS1,0.20021456408098,0.001998001998002,3.45166537099171e-06,0.00301347077029525,5.81737354082407e-06
ACVRL1,0.071211572443211,0.018981018981019,0.00876158927765149,0.0248325227734974,0.0114994602442621
ACY1,0.25849037321291,0.000999000999000999,1.3060919826288e-23,0.001593969646425,5.64755160881875e-23
ACY3,0.0541430872885237,0.445554445554446,0.474603176323514,0.47619906492909,0.509292224395949
ACYP1,-0.0270275056333813,0.354645354645355,0.3991964225001,0.385229264040167,0.434034555008427
ACYP2,0.175731373858907,0.000999000999000999,7.92650763610008e-11,0.001593969646425,1.75620821065627e-10
ADA,0.149172602248916,0.000999000999000999,1.39085722788751e-06,0.001593969646425,2.40654071336604e-06
ADA2,-0.682566421707143,0.000999000999000999,7.45353623784898e-42,0.001593969646425,7.4974576914933e-41
ADAL,0.338427173313264,0.000999000999000999,3.33663545187089e-33,0.001593969646425,2.25671789846525e-32
ADAM10,-0.330936217005228,0.000999000999000999,2.35645630087514e-17,0.001593969646425,7.40609802503682e-17
ADAM12,-0.249272408025835,0.001998001998002,3.94067770241785e-06,0.00301347077029525,6.61425460559921e-06
ADAM15,-0.514475372848848,0.000999000999000999,1.27775948139906e-70,0.001593969646425,4.62459974327882e-69
ADAM17,-0.0858761079427035,0.036963036963037,0.0221027694986875,0.0463435928246277,0.0279140210640999
ADAM19,0.0871382964001874,0.054945054945055,0.0408005205872039,0.0671374565605335,0.0502028567999839
